# beauftragungs_herkunft je Pipedrive person_id (WERKSTATT/INTERNET/DRITTE/RECHTSANWALT).
# Erzeugt aus dem Namensabgleich der Inhaber-CSV gegen die Pipedrive-Personen.
# DSGVO: nur pseudonyme person_id + Kategorie, KEINE Klarnamen.
# Spalten: person_id;kategorie
person_id;kategorie
113;WERKSTATT
147;DRITTE
311;INTERNET
345;WERKSTATT
394;INTERNET
421;WERKSTATT
439;WERKSTATT
524;INTERNET
535;INTERNET
536;INTERNET
592;INTERNET
593;INTERNET
615;WERKSTATT
636;DRITTE
668;WERKSTATT
734;INTERNET
748;INTERNET
752;INTERNET
755;WERKSTATT
767;DRITTE
792;INTERNET
793;DRITTE
795;WERKSTATT
840;INTERNET
843;INTERNET
859;INTERNET
880;WERKSTATT
958;INTERNET
969;DRITTE
984;DRITTE
993;DRITTE
1054;WERKSTATT
1061;DRITTE
1084;WERKSTATT
1094;INTERNET
1097;INTERNET
1111;DRITTE
1113;INTERNET
1129;DRITTE
1220;INTERNET
1232;INTERNET
1233;INTERNET
1241;INTERNET
1263;INTERNET
1293;INTERNET
1300;WERKSTATT
1307;DRITTE
1308;INTERNET
1310;DRITTE
1311;INTERNET
1316;DRITTE
1319;WERKSTATT
1321;WERKSTATT
1323;DRITTE
1324;WERKSTATT
1326;INTERNET
1327;DRITTE
1329;INTERNET
1330;INTERNET
1331;DRITTE
1332;WERKSTATT
1334;WERKSTATT
1335;WERKSTATT
1336;INTERNET
1337;WERKSTATT
1338;INTERNET
1339;INTERNET
1340;INTERNET
1344;WERKSTATT
1345;INTERNET
1348;WERKSTATT
1350;DRITTE
1352;WERKSTATT
1354;DRITTE
1355;INTERNET
1358;INTERNET
1359;DRITTE
1361;WERKSTATT
1362;INTERNET
1364;INTERNET
1365;DRITTE
1368;INTERNET
1369;DRITTE
1370;WERKSTATT
1371;INTERNET
1374;INTERNET
1376;INTERNET
1377;INTERNET
1378;DRITTE
1380;WERKSTATT
1381;WERKSTATT
1383;WERKSTATT
1385;DRITTE
1387;DRITTE
1388;WERKSTATT
1389;WERKSTATT
1390;RECHTSANWALT
1392;WERKSTATT
1408;INTERNET
1417;WERKSTATT
1419;RECHTSANWALT
1420;WERKSTATT
1422;INTERNET
1423;INTERNET
1424;WERKSTATT
1425;INTERNET
1429;INTERNET
1430;DRITTE
1432;WERKSTATT
1434;WERKSTATT
1436;INTERNET
1438;INTERNET
1439;INTERNET
1440;DRITTE
1441;DRITTE
1444;WERKSTATT
1445;WERKSTATT
1449;WERKSTATT
1450;INTERNET
1451;DRITTE
1452;INTERNET
1453;WERKSTATT
1455;DRITTE
1456;WERKSTATT
1458;DRITTE
1461;WERKSTATT
1463;INTERNET
1465;INTERNET
1466;INTERNET
1468;WERKSTATT
1474;INTERNET
1481;WERKSTATT
1482;INTERNET
1483;WERKSTATT
1484;INTERNET
1485;WERKSTATT
1486;INTERNET
1487;WERKSTATT
1488;DRITTE
1492;WERKSTATT
1494;INTERNET
1495;DRITTE
1497;WERKSTATT
1499;INTERNET
1500;INTERNET
1501;DRITTE
1502;INTERNET
1503;INTERNET
1504;INTERNET
1507;INTERNET
1509;WERKSTATT
1510;DRITTE
1511;DRITTE
1512;WERKSTATT
1513;DRITTE
1515;INTERNET
1516;WERKSTATT
1518;INTERNET
1519;WERKSTATT
1520;WERKSTATT
1521;DRITTE
1523;WERKSTATT
1524;INTERNET
1525;WERKSTATT
1528;WERKSTATT
1529;DRITTE
1530;DRITTE
1533;WERKSTATT
1534;INTERNET
1535;DRITTE
1536;WERKSTATT
1537;DRITTE
1538;DRITTE
1540;INTERNET
1541;DRITTE
1542;DRITTE
1543;DRITTE
1544;DRITTE
1545;INTERNET
1546;WERKSTATT
1547;INTERNET
1549;DRITTE
1551;WERKSTATT
1553;DRITTE
1556;INTERNET
1557;INTERNET
1558;DRITTE
1561;DRITTE
1563;WERKSTATT
1564;DRITTE
1567;WERKSTATT
1568;WERKSTATT
1569;WERKSTATT
1573;WERKSTATT
1574;DRITTE
1575;INTERNET
1576;WERKSTATT
1577;WERKSTATT
1578;WERKSTATT
1580;WERKSTATT
1583;INTERNET
1585;INTERNET
1586;DRITTE
1587;INTERNET
1589;DRITTE
1591;WERKSTATT
1605;DRITTE
1607;WERKSTATT
1608;INTERNET
1609;INTERNET
1614;INTERNET
1615;WERKSTATT
1616;DRITTE
1619;DRITTE
1620;INTERNET
1621;DRITTE
1622;DRITTE
1623;WERKSTATT
1626;DRITTE
1628;WERKSTATT
1633;WERKSTATT
1635;INTERNET
1636;DRITTE
1637;INTERNET
1639;INTERNET
1640;INTERNET
1642;INTERNET
1643;INTERNET
1644;INTERNET
1645;INTERNET
1646;INTERNET
1647;INTERNET
1648;DRITTE
1649;DRITTE
1651;INTERNET
1652;INTERNET
1653;WERKSTATT
1655;DRITTE
1656;INTERNET
1657;DRITTE
1658;INTERNET
1659;WERKSTATT
1660;INTERNET
1666;DRITTE
1667;DRITTE
1668;INTERNET
1670;WERKSTATT
1671;DRITTE
1672;WERKSTATT
1673;WERKSTATT
1675;DRITTE
1676;INTERNET
1678;WERKSTATT
1679;INTERNET
1680;INTERNET
1682;DRITTE
1686;WERKSTATT
