# Honorar-Referenztabellen je Schadenstufe (netto). Quellen: EIGEN=AGB Gollenstede;
# BVSK_HB_III / BVSK_HB_V=BVSK-Honorarbefragung 2024 (HB V = Korridor low..high, wert_netto_max=Obergrenze);
# HUK=HUK-Coburg SV-Honorartableau ab 28.03.2025 (Nettobetrag inkl. 80 EUR Nebenkostenpauschale ab 1000).
# Spalten: tabelle;schaden_bis;wert_netto;wert_netto_max
tabelle;schaden_bis;wert_netto;wert_netto_max
EIGEN;500;296.1;
BVSK_HB_III;500;306;
BVSK_HB_V;500;265;306
HUK;500;310.0;
EIGEN;750;330.75;
BVSK_HB_III;750;340;
BVSK_HB_V;750;300;340
HUK;750;347.5;
EIGEN;1000;388.5;
BVSK_HB_III;1000;399;
BVSK_HB_V;1000;354;399
HUK;1000;425.5;
EIGEN;1250;430.5;
BVSK_HB_III;1250;446;
BVSK_HB_V;1250;396;446
HUK;1250;480.0;
EIGEN;1500;467.25;
BVSK_HB_III;1500;483;
BVSK_HB_V;1500;432;483
HUK;1500;518.5;
EIGEN;1750;499.8;
BVSK_HB_III;1750;515;
BVSK_HB_V;1750;463;515
HUK;1750;550.0;
EIGEN;2000;528.15;
BVSK_HB_III;2000;545;
BVSK_HB_V;2000;491;545
HUK;2000;580.0;
EIGEN;2250;554.4;
BVSK_HB_III;2250;573;
BVSK_HB_V;2250;514;573
HUK;2250;606.0;
EIGEN;2500;581.7;
BVSK_HB_III;2500;600;
BVSK_HB_V;2500;541;600
HUK;2500;631.5;
EIGEN;2750;607.95;
BVSK_HB_III;2750;626;
BVSK_HB_V;2750;565;626
HUK;2750;656.5;
EIGEN;3000;631.05;
BVSK_HB_III;3000;651;
BVSK_HB_V;3000;588;651
HUK;3000;679.5;
EIGEN;3250;655.2;
BVSK_HB_III;3250;674;
BVSK_HB_V;3250;610;674
HUK;3250;701.5;
EIGEN;3500;679.35;
BVSK_HB_III;3500;699;
BVSK_HB_V;3500;632;699
HUK;3500;724.0;
EIGEN;3750;703.5;
BVSK_HB_III;3750;723;
BVSK_HB_V;3750;655;723
HUK;3750;747.0;
EIGEN;4000;727.65;
BVSK_HB_III;4000;748;
BVSK_HB_V;4000;678;748
HUK;4000;769.5;
EIGEN;4250;748.65;
BVSK_HB_III;4250;769;
BVSK_HB_V;4250;699;769
HUK;4250;790.0;
EIGEN;4500;771.75;
BVSK_HB_III;4500;792;
BVSK_HB_V;4500;719;792
HUK;4500;811.5;
EIGEN;4750;790.65;
BVSK_HB_III;4750;810;
BVSK_HB_V;4750;737;810
HUK;4750;829.0;
EIGEN;5000;810.6;
BVSK_HB_III;5000;830;
BVSK_HB_V;5000;756;830
HUK;5000;848.0;
EIGEN;5250;829.5;
BVSK_HB_III;5250;851;
BVSK_HB_V;5250;774;851
